StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1,Q2_1,Q3,Q4,Q5_1,Q6,Q7,Q8_1,Q9
2019-04-03 16:06,2019-04-03 16:08,IP Address,100,109,TRUE,2019-04-03 16:08,R_3CDebCKzjPguYiZ,,,,,anonymous,EN,"$80,001 to $100,000",3,"$80,001 to $100,000",7 - 10 Years,2,No,No,2,Sometimes
2019-04-03 16:07,2019-04-03 16:09,IP Address,100,76,TRUE,2019-04-03 16:09,R_6yTSE1Yqd3OA5ih,,,,,anonymous,EN,"$80,001 to $100,000",2,"Less than $60,000",1 - 4 Years,3,Yes,No,2,Often
2019-04-03 16:06,2019-04-03 16:09,IP Address,100,208,TRUE,2019-04-03 16:09,R_1QDwSXpjZ2A9cQo,,,,,anonymous,EN,"$80,001 to $100,000",3,"$60,000 to $80,000",1 - 4 Years,3,Yes,Yes,4,Often
2019-04-03 16:07,2019-04-03 16:10,IP Address,100,230,TRUE,2019-04-03 16:10,R_248IWOpHXl3dUkD,,,,,anonymous,EN,"$60,000 to $80,000",1,"$60,000 to $80,000",Less than 1 Year,1,No,Yes,1,Sometimes
2019-04-03 16:10,2019-04-03 16:11,IP Address,100,50,TRUE,2019-04-03 16:11,R_0NGgPY1oF5mlbVf,,,,,anonymous,EN,"$100,001 to $120,000",3,"$80,001 to $100,000",1 - 4 Years,2,No,Yes,2,Sometimes
2019-04-03 16:09,2019-04-03 16:12,IP Address,100,195,TRUE,2019-04-03 16:12,R_UiuHFMITNLwjaF3,,,,,anonymous,EN,"$80,001 to $100,000",3,"Less than $60,000",1 - 4 Years,3,No,No,2,Often
2019-04-03 16:10,2019-04-03 16:12,IP Address,100,110,TRUE,2019-04-03 16:12,R_2cqYbTCKfxlqUCJ,,,,,anonymous,EN,"$60,000 to $80,000",3,"Less than $60,000",Less than 1 Year,2,No,Yes,3,Sometimes
2019-04-03 16:09,2019-04-03 16:12,IP Address,100,172,TRUE,2019-04-03 16:12,R_3ilsVFEiq1ycvyB,,,,,anonymous,EN,"$80,001 to $100,000",4,"Less than $60,000",10+ Years,1,No,No,4,Sometimes
2019-04-03 16:12,2019-04-03 16:12,IP Address,100,55,TRUE,2019-04-03 16:12,R_RLxMQUTDzGMLC5b,,,,,anonymous,EN,"$100,001 to $120,000",1,"$100,001 to $120,000",1 - 4 Years,2,No,Yes,2,Often
2019-04-03 16:12,2019-04-03 16:14,IP Address,100,78,TRUE,2019-04-03 16:14,R_2CQhSiHznf7Cuyt,,,,,anonymous,EN,"$100,001 to $120,000",3,"$80,001 to $100,000",1 - 4 Years,1,No,No,4,Not Often
2019-04-03 16:12,2019-04-03 16:14,IP Address,100,79,TRUE,2019-04-03 16:14,R_2BbRBNGKzZZArzC,,,,,anonymous,EN,"Less than $60,000",3,"Less than $60,000",1 - 4 Years,2,No,Yes,3,Often
2019-04-03 16:14,2019-04-03 16:15,IP Address,100,74,TRUE,2019-04-03 16:15,R_21huSHcwkua7XjO,,,,,anonymous,EN,"$100,001 to $120,000",4,"$80,001 to $100,000",4 - 7 Years,2,Yes,Yes,4,Often
2019-04-03 16:14,2019-04-03 16:15,IP Address,100,62,TRUE,2019-04-03 16:15,R_2YalZADLuWr1ciW,,,,,anonymous,EN,"$60,000 to $80,000",1,"Less than $60,000",1 - 4 Years,1,No,Yes,1,Sometimes
2019-04-03 16:14,2019-04-03 16:16,IP Address,100,132,TRUE,2019-04-03 16:16,R_2b3O9jumNNQZk7V,,,,,anonymous,EN,"$100,001 to $120,000",2,"Less than $60,000",1 - 4 Years,1,No,No,1,Sometimes
2019-04-03 16:17,2019-04-03 16:17,IP Address,100,47,TRUE,2019-04-03 16:17,R_3gXG16SOBuBAyNx,,,,,anonymous,EN,"$100,001 to $120,000",3,"$80,001 to $100,000",10+ Years,2,Yes,Yes,3,Sometimes
2019-04-03 16:16,2019-04-03 16:18,IP Address,100,111,TRUE,2019-04-03 16:18,R_1pSXt6erJKuzAeE,,,,,anonymous,EN,"$60,000 to $80,000",3,"Less than $60,000",1 - 4 Years,1,No,No,3,Sometimes
2019-04-03 16:18,2019-04-03 16:19,IP Address,100,58,TRUE,2019-04-03 16:19,R_3DuAv21gGcUpXQZ,,,,,anonymous,EN,"$60,000 to $80,000",3,"Less than $60,000",Less than 1 Year,2,No,Yes,3,Not Often
2019-04-03 16:18,2019-04-03 16:19,IP Address,100,58,TRUE,2019-04-03 16:19,R_UEg7vmei3odG4RX,,,,,anonymous,EN,"$80,001 to $100,000",3,"$60,000 to $80,000",1 - 4 Years,2,No,Yes,3,Sometimes
2019-04-03 16:11,2019-04-03 16:19,IP Address,100,482,TRUE,2019-04-03 16:19,R_248h8z4xfypPWpf,,,,,anonymous,EN,"$80,001 to $100,000",3,"Less than $60,000",Less than 1 Year,3,No,Yes,3,Sometimes
2019-04-03 16:17,2019-04-03 16:20,IP Address,100,124,TRUE,2019-04-03 16:20,R_3rIkKSEJnm24jri,,,,,anonymous,EN,"$60,000 to $80,000",4,"Less than $60,000",1 - 4 Years,1,Yes,No,4,Often
2019-04-03 16:19,2019-04-03 16:21,IP Address,100,107,TRUE,2019-04-03 16:21,R_24DihEYNChEuHfC,,,,,anonymous,EN,"$100,001 to $120,000",3,"$80,001 to $100,000",7 - 10 Years,2,Yes,No,3,Often
2019-04-03 16:19,2019-04-03 16:21,IP Address,100,130,TRUE,2019-04-03 16:21,R_p9TyxNFEKKsoPV7,,,,,anonymous,EN,"$80,001 to $100,000",4,"$60,000 to $80,000",4 - 7 Years,2,Yes,No,4,Often
2019-04-03 16:20,2019-04-03 16:21,IP Address,100,78,TRUE,2019-04-03 16:21,R_2pMogzBqs3yS9tm,,,,,anonymous,EN,"$60,000 to $80,000",3,"Less than $60,000",Less than 1 Year,2,No,Yes,2,Sometimes
2019-04-03 16:20,2019-04-03 16:21,IP Address,100,62,TRUE,2019-04-03 16:21,R_1IbErRJF8KfHHZX,,,,,anonymous,EN,"$80,001 to $100,000",4,"Less than $60,000",1 - 4 Years,4,Yes,Yes,4,Often
2019-04-03 16:21,2019-04-03 16:23,IP Address,100,109,TRUE,2019-04-03 16:23,R_xDXbuA3nSY80rVD,,,,,anonymous,EN,"$80,001 to $100,000",3,"Less than $60,000",1 - 4 Years,2,Yes,Yes,4,Often
2019-04-03 16:22,2019-04-03 16:24,IP Address,100,153,TRUE,2019-04-03 16:24,R_10q5MMVQ3GYVhF0,,,,,anonymous,EN,"$80,001 to $100,000",4,"$60,000 to $80,000",1 - 4 Years,2,No,No,4,Often
2019-04-03 16:24,2019-04-03 16:24,IP Address,100,41,TRUE,2019-04-03 16:24,R_1jri5O2bT6roK4U,,,,,anonymous,EN,"$60,000 to $80,000",3,"Less than $60,000",Less than 1 Year,2,No,Yes,3,Sometimes
2019-04-03 16:15,2019-04-03 16:26,IP Address,100,615,TRUE,2019-04-03 16:26,R_3OjodhACNmp0Axt,,,,,anonymous,EN,"$60,000 to $80,000",3,"Less than $60,000",Less than 1 Year,3,No,Yes,3,Sometimes
2019-04-03 16:20,2019-04-03 16:26,IP Address,100,364,TRUE,2019-04-03 16:26,R_3NR77NOGNK6j0VN,,,,,anonymous,EN,"$60,000 to $80,000",3,"Less than $60,000",4 - 7 Years,1,No,Yes,3,Sometimes
2019-04-03 16:25,2019-04-03 16:26,IP Address,100,82,TRUE,2019-04-03 16:26,R_1NwdPmp297fFGdv,,,,,anonymous,EN,"$60,000 to $80,000",4,"$100,001 to $120,000",1 - 4 Years,1,Yes,Yes,4,Often
2019-04-03 16:25,2019-04-03 16:27,IP Address,100,77,TRUE,2019-04-03 16:27,R_3HnVM65jv0C9ShP,,,,,anonymous,EN,"$60,000 to $80,000",1,"Less than $60,000",7 - 10 Years,1,No,No,1,Often
2019-04-03 16:25,2019-04-03 16:27,IP Address,100,127,TRUE,2019-04-03 16:27,R_3nCqeI2Lc8JSA6M,,,,,anonymous,EN,"$60,000 to $80,000",4,"$80,001 to $100,000",1 - 4 Years,4,No,No,4,Sometimes
2019-04-03 16:26,2019-04-03 16:28,IP Address,100,75,TRUE,2019-04-03 16:28,R_6gjmvhHBe7DX4aJ,,,,,anonymous,EN,"$60,000 to $80,000",3,"Less than $60,000",4 - 7 Years,2,Yes,No,1,Sometimes
2019-04-03 16:27,2019-04-03 16:30,IP Address,100,166,TRUE,2019-04-03 16:30,R_3imnvr8yshE5EL5,,,,,anonymous,EN,"$60,000 to $80,000",4,"Less than $60,000",Less than 1 Year,4,No,No,4,Not Often
2019-04-03 16:29,2019-04-03 16:30,IP Address,100,40,TRUE,2019-04-03 16:30,R_10JiftpFlkZMXXu,,,,,anonymous,EN,"More than $120,000",4,"More than $120,000",4 - 7 Years,3,No,Yes,4,Sometimes
2019-04-03 16:29,2019-04-03 16:32,IP Address,100,138,TRUE,2019-04-03 16:32,R_2t8Lltrwen7kfOR,,,,,anonymous,EN,"More than $120,000",4,"More than $120,000",7 - 10 Years,2,Yes,Yes,4,Not Often
2019-04-03 16:29,2019-04-03 16:32,IP Address,100,180,TRUE,2019-04-03 16:32,R_2dmzM6MbauZ7OE8,,,,,anonymous,EN,"$100,001 to $120,000",3,"$60,000 to $80,000",1 - 4 Years,3,Yes,No,3,Often
2019-04-03 16:27,2019-04-03 16:32,IP Address,100,266,TRUE,2019-04-03 16:32,R_277ELSm8j3C0pkO,,,,,anonymous,EN,"$60,000 to $80,000",3,"Less than $60,000",4 - 7 Years,2,No,No,4,Often
2019-04-03 16:35,2019-04-03 16:36,IP Address,100,74,TRUE,2019-04-03 16:36,R_2VaOtfLx4CTniui,,,,,anonymous,EN,"$60,000 to $80,000",2,"Less than $60,000",Less than 1 Year,3,No,No,2,Often
2019-04-03 16:40,2019-04-03 16:41,IP Address,100,70,TRUE,2019-04-03 16:41,R_bNNhuPjoHiZHhSh,,,,,anonymous,EN,"$100,001 to $120,000",3,"More than $120,000",10+ Years,2,No,No,3,Sometimes
2019-04-03 16:39,2019-04-03 16:41,IP Address,100,155,TRUE,2019-04-03 16:41,R_24qofRBbVNHlTWa,,,,,anonymous,EN,"$100,001 to $120,000",4,"$100,001 to $120,000",4 - 7 Years,1,No,No,4,Often
2019-04-03 16:35,2019-04-03 16:45,IP Address,100,556,TRUE,2019-04-03 16:45,R_1kMmKPQQ1dBLaa1,,,,,anonymous,EN,"$60,000 to $80,000",3,"Less than $60,000",1 - 4 Years,1,No,Yes,2,Often
2019-04-03 16:46,2019-04-03 16:49,IP Address,100,160,TRUE,2019-04-03 16:49,R_88mnjXRT6DH7OJr,,,,,anonymous,EN,"$80,001 to $100,000",2,"Less than $60,000",Less than 1 Year,1,No,No,3,Often
2019-04-03 16:50,2019-04-03 16:51,IP Address,100,91,TRUE,2019-04-03 16:51,R_2D0ty8H7kiBkY0J,,,,,anonymous,EN,"$80,001 to $100,000",3,"$60,000 to $80,000",4 - 7 Years,3,No,Yes,3,Often
2019-04-03 16:51,2019-04-03 16:52,IP Address,100,90,TRUE,2019-04-03 16:52,R_1E3YeLMFXzQ9xY0,,,,,anonymous,EN,"$100,001 to $120,000",3,"Less than $60,000",1 - 4 Years,2,No,Yes,3,Often
2019-04-03 15:44,2019-04-03 15:44,IP Address,10,6,FALSE,2019-04-03 19:44,R_2wNznn4cNKVuXnt,,,,,anonymous,EN,,,,,,,,,
2019-04-03 10:22,2019-04-03 10:22,IP Address,10,5,FALSE,2019-04-03 19:51,R_27g5dGkgeVtcKQe,,,,,anonymous,EN,,,,,,,,,
2019-04-03 15:59,2019-04-03 16:00,IP Address,10,7,FALSE,2019-04-03 20:00,R_2rpSZZQhmsUHW6X,,,,,anonymous,EN,,,,,,,,,
2019-04-03 16:06,2019-04-03 16:06,IP Address,10,9,FALSE,2019-04-03 20:06,R_2QsSqAbqb79yQ4U,,,,,anonymous,EN,,,,,,,,,
2019-04-03 16:12,2019-04-03 16:12,IP Address,10,9,FALSE,2019-04-03 20:12,R_4ZUxRclRZ8QTY4N,,,,,anonymous,EN,,,,,,,,,
2019-04-03 16:16,2019-04-03 16:16,IP Address,10,6,FALSE,2019-04-03 20:16,R_3e365boRTstN7WU,,,,,anonymous,EN,,,,,,,,,
2019-04-03 16:22,2019-04-03 16:29,IP Address,10,414,FALSE,2019-04-03 20:22,R_3Ohg9P9ADD72UOB,,,,,anonymous,EN,,,,,,,,,
2019-04-03 16:37,2019-04-03 16:38,IP Address,10,25,FALSE,2019-04-03 20:38,R_3Pud6GC1Gc9dVLv,,,,,anonymous,EN,,,,,,,,,
2019-04-03 16:42,2019-04-03 16:43,IP Address,10,86,FALSE,2019-04-03 20:42,R_C8Ea7ciiNChz3Zn,,,,,anonymous,EN,,,,,,,,,
